date,active_market_value,active_market_value_pct,source,note
2026-08-04,3.15,3.15,compass,用户补充初始值
2026-08-05,3.87,3.87,compass,用户补充初始值
2026-08-06,0.83,0.83,compass,用户补充初始值
2026-08-07,2.46,2.46,compass,用户补充初始值
2026-08-10,0.13,0.13,compass,用户补充初始值
2026-08-11,-1.53,-1.53,compass,通过操作面板更新
2026-08-12,0.06,0.06,compass,通过操作面板更新
2026-08-13,-1.13,-1.13,compass,通过操作面板更新
2026-08-14,-0.51,-0.51,compass,通过操作面板更新
2026-08-17,2.3,2.3,compass,通过操作面板更新
2026-08-18,-0.92,-0.92,compass,通过操作面板更新
