symbol,name,close,prev_close,volume,volume_ma5,active_market_value_pct,macd_dif,macd_dea,white_line,yellow_line,support_price,resistance_price,tags
000001,平安银行,11.19,11.27,882977.0,1144562.2,4.82,0.1928,0.1974,11.354,11.11,10.38,11.66,B1/B2买点;关键K;双线/白黄线
600519,贵州茅台,1309.22,1308.55,2497600.0,3334500.0,4.82,23.0531,24.3978,1322.312,1298.663,1190.19,1363.35,板块/主线;BBI/MA60;双线/白黄线;B1/B2买点
300750,宁德时代,388.07,388.0,25519300.0,29707660.0,4.82,2.7993,1.4423,394.154,383.8905,348.0,410.0,板块/主线;MACD;双线/白黄线;单针战法
002594,比亚迪,90.04,89.45,40701600.0,46431960.0,4.82,0.5926,1.0563,91.182,92.215,86.14,96.59,量价关系;筹码/主力;双线/白黄线
