code,sector
000869,酿酒行业
000875,电力行业
000876,农林牧渔
000877,水泥行业
000878,有色金属
000880,机械行业
000881,综合行业
000882,商业百货
000883,电力行业
000885,水泥行业
000886,公路桥梁
000887,化工行业
000888,酒店旅游
000889,商业百货
000890,钢铁行业
000892,电子信息
000893,食品行业
000895,食品行业
000897,房地产
000898,钢铁行业
000899,电力行业
000900,公路桥梁
000901,飞机制造
000902,农药化肥
000903,机械行业
000905,交通运输
000906,商业百货
000908,生物制药
000909,综合行业
000910,家具行业
000911,食品行业
000912,农药化肥
000913,摩托车
000915,生物制药
000916,公路桥梁
000917,传媒娱乐
000918,房地产
000919,生物制药
000920,交通运输
000921,家电行业
000922,电器行业
000923,机械行业
000925,机械行业
000926,房地产
000927,汽车制造
000928,建筑建材
000929,酿酒行业
000930,食品行业
000931,房地产
000932,钢铁行业
000933,煤炭行业
000935,水泥行业
000936,化纤行业
000937,煤炭行业
000938,电子信息
000939,电力行业
000948,电子信息
000949,化纤行业
000950,农药化肥
000951,汽车制造
000952,生物制药
000953,农药化肥
000955,纺织行业
000957,汽车制造
000958,电力行业
000959,钢铁行业
000960,有色金属
000961,建筑建材
000962,有色金属
000963,生物制药
000965,房地产
000966,电力行业
000967,发电设备
000968,煤炭行业
000969,钢铁行业
000970,电子信息
000971,纺织行业
000972,食品行业
000973,塑料制品
000975,有色金属矿采选业
000976,化纤行业
000977,电子信息
000978,酒店旅游
000979,房地产
000980,仪器仪表
000981,房地产
000982,纺织行业
000983,煤炭行业
000985,化工行业
000987,商业百货
000988,仪器仪表
000989,生物制药
000990,化工行业
000993,电力行业
000995,酿酒行业
000996,交通运输
000997,电子信息
000998,农林牧渔
000999,生物制药
001210,电力、热力生产和供应业
001220,次新股
001232,次新股
001233,次新股
001237,次新股
001248,次新股
001257,次新股
001267,计算机、通信和其他电子设备制造业
001270,消费电子
001280,次新股
001285,次新股
001309,消费电子
001312,次新股
001325,次新股
001365,次新股
001369,次新股
001386,次新股
001393,次新股
001396,次新股
001399,次新股
001696,摩托车
001896,电力行业
001914,房地产
001979,房地产
002001,生物制药
002002,塑料制品
002003,服装鞋类
002004,农药化肥
002005,家电行业
002006,机械行业
002007,生物制药
002008,仪器仪表
002009,机械行业
002010,化工行业
002011,机械行业
002012,造纸行业
002013,汽车制造
002014,化工行业
002015,化纤行业
002016,房地产
