symbol,name,tags
000001,平安银行,B1/B2买点;关键K;双线/白黄线
600519,贵州茅台,板块/主线;BBI/MA60;双线/白黄线
300750,宁德时代,板块/主线;MACD;双线/白黄线
002594,比亚迪,量价关系;筹码/主力;双线/白黄线
